non-preferred name	preferred name
putative 17-OH steroid UDPGT	putative glucuronosyltransferase
putative 1-naphthol-UDP-glucuronosyltransferase	putative glucuronosyltransferase
putative 17-beta-hydroxysteroid UDP-glucuronosyltransferase	putative glucuronosyltransferase
putative uridine diphosphate glucuronyltransferase	putative glucuronosyltransferase
putative UDP glucuronate-estradiol-glucuronosyltransferase	putative glucuronosyltransferase
putative p-nitrophenol UDP-glucuronyltransferase	putative glucuronosyltransferase
putative UDP glucuronic acid transferase	putative glucuronosyltransferase
putative 1-naphthol glucuronyltransferase	putative glucuronosyltransferase
putative UDP-glucuronate-4-hydroxybiphenyl glucuronosyltransferase	putative glucuronosyltransferase
putative 4-methylumbelliferone UDP-glucuronosyltransferase	putative glucuronosyltransferase
putative morphine glucuronyltransferase	putative glucuronosyltransferase
putative UDPGA-glucuronyltransferase	putative glucuronosyltransferase
putative 4-nitrophenol UDP-glucuronyltransferase	putative glucuronosyltransferase
putative UDP glucuronyltransferase	putative glucuronosyltransferase
putative p-phenylphenol glucuronyltransferase	putative glucuronosyltransferase
putative uridine diphosphoglucuronate-estriol glucuronosyltransferase	putative glucuronosyltransferase
putative bilirubin glucuronyltransferase	putative glucuronosyltransferase
putative UDP-glucuronate-bilirubin glucuronyltransferase	putative glucuronosyltransferase
putative uridine diphosphoglucuronate-1,2-diacylglycerol glucuronosyltransferase	putative glucuronosyltransferase
putative estriol UDPglucuronosyltransferase	putative glucuronosyltransferase
putative GT	putative glucuronosyltransferase
putative PNP-UDPGT	putative glucuronosyltransferase
putative uridine diphosphoglucuronyltransferase	putative glucuronosyltransferase
putative bilirubin monoglucuronide glucuronyltransferase	putative glucuronosyltransferase
putative UDP glucuronate-estriol glucuronosyltransferase	putative glucuronosyltransferase
putative glucuronosylgalactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase	putative glucuronyl-galactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase
putative alpha-N-acetylglucosaminyltransferase I	putative glucuronyl-galactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase
putative alpha-1,4-N-acetylglucosaminyltransferase	putative glucuronyl-galactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase
putative N-acetylgalactosaminyltransferase I	putative glucuronylgalactosylproteoglycan 4-beta-N- acetylgalactosaminyltransferase
putative uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase I	putative glucuronylgalactosylproteoglycan 4-beta-N- acetylgalactosaminyltransferase
putative glucuronylgalactosylproteoglycan beta-1,4-N- acetylgalactosaminyltransferase	putative glucuronylgalactosylproteoglycan 4-beta-N- acetylgalactosaminyltransferase
putative the glug motif domain protein	putative GLUG domain protein
putative GLUG motif domain protein	putative GLUG domain protein
putative Pent-2-enoyl-CoA carboxy-lyase	putative glutaconyl-CoA decarboxylase
putative 4-carboxybut-2-enoyl-CoA carboxy-lyase	putative glutaconyl-CoA decarboxylase
putative glutaconyl coenzyme A decarboxylase	putative glutaconyl-CoA decarboxylase
putative gamma-glutamyl kinase	putative glutamate 5-kinase
putative carboxypeptidase G1	putative glutamate carboxypeptidase
putative carboxypeptidase G	putative glutamate carboxypeptidase
putative carboxypeptidase G2	putative glutamate carboxypeptidase
putative folate hydrolase	putative glutamate carboxypeptidase II
putative NAALADase	putative glutamate carboxypeptidase II
putative N-acetylated-gamma-linked-acidic dipeptidase	putative glutamate carboxypeptidase II
putative pteroylpoly-gamma-glutamate carboxypeptidase	putative glutamate carboxypeptidase II
putative L-glutamate 1-carboxy-lyase	putative glutamate decarboxylase
putative glutamate decarboxylase alpha	putative glutamate decarboxylase
putative glutamic dehydrogenase	putative glutamate dehydrogenase
putative NAD-specific glutamate dehydrogenase	putative glutamate dehydrogenase, NAD-specific
putative glutamate formiminotransferase	putative glutamate formimidoyltransferase
putative glutamate formyltransferase	putative glutamate formimidoyltransferase
putative formiminoglutamic acid transferase	putative glutamate formimidoyltransferase
putative formiminoglutamic formiminotransferase	putative glutamate formimidoyltransferase
putative acetylglutamic-acetylornithine transacetylase	putative glutamate N-acetyltransferase
putative acetylglutamic synthetase	putative glutamate N-acetyltransferase
putative ornithine transacetylase	putative glutamate N-acetyltransferase
putative acetylornithine glutamate acetyltransferase	putative glutamate N-acetyltransferase
putative N-acetyl-L-glutamate synthetase	putative glutamate N-acetyltransferase
putative acetylglutamate synthetase	putative glutamate N-acetyltransferase
putative N-acetylglutamate synthetase	putative glutamate N-acetyltransferase
putative glutamate acetyltransferase	putative glutamate N-acetyltransferase
putative ornithine acetyltransferase	putative glutamate N-acetyltransferase
putative acetylglutamate-acetylornithine transacetylase	putative glutamate N-acetyltransferase
putative ferredoxin-dependent glutamate synthase	putative glutamate synthase (ferredoxin)
putative NADH-dependent glutamate synthase	putative glutamate synthase (NADH)
putative glutamate synthase [nadh]	putative glutamate synthase (NADH)
putative NADH-glutamate synthase	putative glutamate synthase (NADH)
putative L-glutamate synthase	putative glutamate synthase (NADPH)
putative glutamine-ketoglutaric aminotransferase	putative glutamate synthase (NADPH)
putative glutamine amide-2-oxoglutarate aminotransferase (oxidoreductase, NADP)	putative glutamate synthase (NADPH)
putative NADPH-glutamate synthase	putative glutamate synthase (NADPH)
putative NADPH-dependent glutamate synthase	putative glutamate synthase (NADPH)
putative glutamate synthetase (NADP)	putative glutamate synthase (NADPH)
putative GOGAT	putative glutamate synthase (NADPH)
putative L-glutamate synthetase	putative glutamate synthase (NADPH)
putative glutamate (reduced nicotinamide adenine dinucleotide phosphate) synthase	putative glutamate synthase (NADPH)
putative L-glutamine:2-oxoglutarate aminotransferase, NADPH oxidizinG	putative glutamate synthase (NADPH)
putative glutamate synthase [NADPH] small chain (NADPH-gogat)	putative glutamate synthase NADPH, small subunit
putative glutamate synthases, nadh/nadph, small subunit	putative glutamate synthase, NADH/NADPH, small subunit
putative glutamate synthase [nadph] small chain	putative glutamate synthase, small subunit
putative glutamine synthetase	putative glutamate--ammonia ligase
putative gamma-glutamyl-L-cysteine synthetase	putative glutamate--cysteine ligase
putative gamma-glutamylcysteine synthetase	putative glutamate--cysteine ligase
putative theanine synthetase	putative glutamate--ethylamine ligase
putative N(5)-ethyl-L-glutamine synthetase	putative glutamate--ethylamine ligase
putative gamma-glutamylmethylamide synthetase	putative glutamate--methylamine ligase
putative L-glutamate:prephenate aminotransferase	putative glutamate--prephenate aminotransferase
putative gamma-glutamylputrescine synthetase	putative glutamate--putrescine ligase
putative glutamyl-tRNA synthetase	putative glutamate--tRNA ligase
putative glutamic acid translase	putative glutamate--tRNA ligase
putative nondiscriminating glutamyl-tRNA synthetase	putative glutamate--tRNA(Gln) ligase
putative glutamate-1-semialdehyde aminotransferase	putative glutamate-1-semialdehyde 2,1-aminomutase
putative gamma-glutamylphosphate reductase	putative glutamate-5-semialdehyde dehydrogenase
putative beta-glutamylphosphate reductase	putative glutamate-5-semialdehyde dehydrogenase
putative glutamyl-gamma-semialdehyde dehydrogenase	putative glutamate-5-semialdehyde dehydrogenase
putative L-ASNase/L-GLNase	putative glutamin-(asparagin-)ase
putative glutaminase-asparaginase	putative glutamin-(asparagin-)ase
putative L-asparagine/L-glutamine amidohydrolase	putative glutamin-(asparagin-)ase
putative L-glutamine amidohydrolase	putative glutaminase
putative glutamine transport ATP-binding protein GlnQ	putative glutamine ABC transporter, ATP-binding protein GlnQ
putative glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase	putative glutamine amidotransferase, class I
putative hexosephosphate aminotransferase	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glucosamine-6-phosphate synthase	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glucosamine-6-phosphate isomerase (glutamine-forming)	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative D-fructose-6-phosphate amidotransferase	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glucosamine--fructose-6-phosphate aminotransferase, isomerizing	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glucosamine--fructose-6-phosphate aminotransferase [isomerizing]	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative GlcN6P synthase	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glucosamine--fructose-6-phosphate aminotransferase	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative L-glutamine-D-fructose-6-phosphate amidotransferase	putative glutamine--fructose-6-phosphate transaminase (isomerizing)
putative glutamine transaminase K	putative glutamine--phenylpyruvate transaminase
putative glutamine--phenylpyruvate aminotransferase	putative glutamine--phenylpyruvate transaminase
putative glutaminase II	putative glutamine--pyruvate transaminase
putative glutamine--oxo-acid transaminase	putative glutamine--pyruvate transaminase
putative glutamine transaminase L	putative glutamine--pyruvate transaminase
putative glutamine--pyruvate aminotransferase	putative glutamine--pyruvate transaminase
putative glutamine--scyllo-inosose transaminase	putative glutamine--scyllo-inositol transaminase
putative glutamine--scyllo-inosose aminotransferase	putative glutamine--scyllo-inositol transaminase
putative glutaminyl-tRNA synthetase	putative glutamine--tRNA ligase
putative glutamine translase	putative glutamine--tRNA ligase
putative glutamyl-tRNA ligase domain protein	putative glutamine--tRNA ligase domain protein
putative NAD synthetase	putative glutamine-dependent NAD(+) synthetase
putative glutaminyl cyclase	putative glutaminyl-peptide cyclotransferase
putative glutaminyl-tRNA cyclotransferase	putative glutaminyl-peptide cyclotransferase
putative glutamyl-tRNA(Gln) amidotransferase	putative glutaminyl-tRNA synthase (glutamine-hydrolyzing)
putative Glu-AdT	putative glutaminyl-tRNA synthase (glutamine-hydrolyzing)
putative Glu-tRNA(Gln) amidotransferase	putative glutaminyl-tRNA synthase (glutamine-hydrolyzing)
putative glutamyl peptidase	putative glutamyl aminopeptidase
putative membrane aminopeptidase II	putative glutamyl aminopeptidase
putative aspartate aminopeptidase	putative glutamyl aminopeptidase
putative aminopeptidase A	putative glutamyl aminopeptidase
putative angiotensinase A	putative glutamyl aminopeptidase
putative endoproteinase Glu-C	putative glutamyl endopeptidase
putative V8 proteinase	putative glutamyl endopeptidase
putative Staphylococcal serine proteinase	putative glutamyl endopeptidase
putative protease V8	putative glutamyl endopeptidase
putative GluSGP	putative glutamyl endopeptidase II
putative glutamic acid-specific protease	putative glutamyl endopeptidase II
putative glutamyl-tRNA reductase (GluTR)	putative glutamyl-tRNA reductase
putative glutamyl-tRNA amidotransferase subunit A	putative glutamyl-tRNA(Gln) amidotransferase, A subunit
putative glu-trnagln amidotransferase suBunit b	putative glutamyl-tRNA(Gln) amidotransferase, B subunit
putative aspartyl/glutamyl-tRNA amidotransferase subunit B 1	putative glutamyl-tRNA(Gln) amidotransferase, B subunit
putative glutamyl-tRNA amidotransferase subunit C	putative glutamyl-tRNA(Gln) amidotransferase, C subunit
putative Aspartyl-tRNA(Asn) amidotransferase subunit A @ Glutamyl-tRNA(Gln) amidotransferase subunit A	putative glutamyl-tRNA(Gln) and/aspartyl-tRNA(Asn) amidotransferase, A subunit
putative glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADTsubunit A)	putative glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit
putative aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B)	putative glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit
putative glutaryl-CoA synthetase	putative glutarate--CoA ligase
putative CA	putative glutaryl-7-aminocephalosporanic-acid acylase
putative cephalosporin C acylase	putative glutaryl-7-aminocephalosporanic-acid acylase
putative GCA	putative glutaryl-7-aminocephalosporanic-acid acylase
putative cephalosporin acylase	putative glutaryl-7-aminocephalosporanic-acid acylase
putative glutaryl-7-ACA acylase	putative glutaryl-7-aminocephalosporanic-acid acylase
putative 7-beta-(4-carboxybutanamido)cephalosporanic acid acylase	putative glutaryl-7-aminocephalosporanic-acid acylase
putative GA	putative glutaryl-7-aminocephalosporanic-acid acylase
putative GL-7-ACA acylase	putative glutaryl-7-aminocephalosporanic-acid acylase
putative glutaryl-7-aminocephalosporanic acid acylase	putative glutaryl-7-aminocephalosporanic-acid acylase
putative phytochelatin synthase	putative glutathione gamma-glutamylcysteinyltransferase
putative glutathione S-transferase, C- domain	putative glutathione S-transferase
putative glutathione S-transferase, N- domain	putative glutathione S-transferase
putative glutathione s-transferase, c-terminal	putative glutathione S-transferase C-terminal domain protein
putative glutathione S-transferase domain	putative glutathione S-transferase domain protein
putative glutathione s-transferase n terminus	putative glutathione S-transferase N-terminal domain protein
putative GSH synthetase	putative glutathione synthase
putative glutathione synthetase	putative glutathione synthase
putative glutathione thioesterase	putative glutathione thiolesterase
putative S-(hydroxyalkyl)glutathione lyase	putative glutathione transferase
putative glutathione S-aryltransferase	putative glutathione transferase
putative glutathione S-aralkyltransferase	putative glutathione transferase
putative glutathione S-alkyltransferase	putative glutathione transferase
putative glutathione S-reductase	putative glutathione-disulfide reductase
putative NADPH:oxidized-glutathione oxidoreductase	putative glutathione-disulfide reductase
putative GSSG reductase	putative glutathione-disulfide reductase
putative NADPH-glutathione reductase	putative glutathione-disulfide reductase
putative glutathione reductase (NADPH)	putative glutathione-disulfide reductase
putative glutathione reductase	putative glutathione-disulfide reductase
putative GSH reductase	putative glutathione-disulfide reductase
putative NADPH-GSSG reductase	putative glutathione-disulfide reductase
putative glutathione-regulated potassium-efflux system protein (K(+)/H	putative glutathione-regulated potassium-efflux system protein
putative glutathione-regulated potassium-efflux system protein kefb (k(+)/h(+)antiporter) (nem-activable k(+)/h(+) antiporter)	putative glutathione-regulated potassium-efflux system protein KefB
putative glutathione-regulated potassium-efflux system protein KefB (K(+)/H(+)antiporter) (NEM-activable K(+)/H	putative glutathione-regulated potassium-efflux system protein KefB
putative GSP amidase	putative glutathionylspermidine amidase
putative glutathionylspermidine amidohydrolase (spermidine-forming)	putative glutathionylspermidine amidase
putative gamma-L-glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming)	putative glutathionylspermidine synthase
putative GSP synthetase	putative glutathionylspermidine synthase
putative glutathione:spermidine ligase (ADP-forming)	putative glutathionylspermidine synthase
putative glutathionylspermidine synthetase	putative glutathionylspermidine synthase
putative glycine carboxypeptidase	putative Gly-Xaa carboxypeptidase
putative Gly-X carboxypeptidase	putative Gly-Xaa carboxypeptidase
putative carboxypeptidase S	putative Gly-Xaa carboxypeptidase
putative dimethylallyl-3,6a,9-trihydroxypterocarpan cyclase	putative glyceollin synthase
putative GAPOR	putative glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
putative glyceraldehyde-3-phosphate Fd oxidoreductase	putative glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
putative glyceraldehyde-3-phosphate ferredoxin reductase	putative glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
putative NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase	putative glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
putative triosephosphate dehydrogenase (NAD(P)(+))	putative glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
putative triosephosphate dehydrogenase (NAD(P))	putative glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
putative triosephosphate dehydrogenase (NADP+)	putative glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)
putative triosephosphate dehydrogenase (NADP(+))	putative glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)
putative NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	putative glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)
putative triosephosphate dehydrogenase	putative glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
putative NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	putative glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
putative GAPDH	putative glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
putative hydroxypyruvate reductase	putative glycerate dehydrogenase
putative glycerate dehydrogenase (NADH-dependent hydroxypyruvatereductase) (hpr) (gdh) (hydroxypyruvate dehydrogenase) (glyoxylatereductase) (hpr-a)	putative glycerate dehydrogenase
putative hydroxypyruvate dehydrogenase	putative glycerate dehydrogenase
putative dihydroxyacetone reductase	putative glycerol 2-dehydrogenase (NADP(+))
putative glycerol dehydrogenase (gldh)	putative glycerol dehydrogenase
putative NAD-linked glycerol dehydrogenase	putative glycerol dehydrogenase
putative ATP:glycerol 3-phosphotransferase	putative glycerol kinase
putative glycerokinase	putative glycerol kinase
putative glycerol kinase (ATP:glycerol 3-phosphotransferase)(Glycerokinase) (GK)	putative glycerol kinase
putative glycerin-3-phosphate dehydrogenase	putative glycerol-3-phosphate 1-dehydrogenase (NADP(+))
putative glycerol-3-phosphate cytidyltransferase (cdp-glycerol pyrophosphorylase) (teichoic acid biosynthesis protein d)	putative glycerol-3-phosphate cytidylyltransferase
putative CDP-glycerol diphosphorylase	putative glycerol-3-phosphate cytidylyltransferase
putative CDP-glycerol pyrophosphorylase	putative glycerol-3-phosphate cytidylyltransferase
putative glycerol-3-phosphate cytidyltransferase	putative glycerol-3-phosphate cytidylyltransferase
putative glpD gene homolog [imported]	putative glycerol-3-phosphate dehydrogenase
putative L-alpha-glycerophosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative NAD-linked glycerol 3-phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative L-glycerol phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative glycerol-3-phosphate dehydrogenase (NAD)	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative alpha-glycerophosphate dehydrogenase (NAD)	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative L-glycerophosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative NAD-L-glycerol-3-phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative L-alpha-glycerol phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative alpha-glycerol phosphate dehydrogenase (NAD)	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative hydroglycerophosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative NADH-dihydroxyacetone phosphate reductase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative NAD-alpha-glycerophosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative glycerol 1-phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative NAD-dependent glycerol phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative glycerol phosphate dehydrogenase (NAD)	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative NAD-dependent glycerol-3-phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative glycerophosphate dehydrogenase (NAD)	putative glycerol-3-phosphate dehydrogenase (NAD(+))
putative glycerol-3-phosphate dehydrogenase [NAD(P)]	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative L-glycerol-3-phosphate:NAD(P) oxidoreductase	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol 3-phosphate dehydrogenase (NADP)	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol-3-phosphate dehydrogenase [NAD(P)+ ] (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol 3-phosphate dehydrogenase (NAD(P))	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol-3-phosphate dehydrogenase (NAD(P)+)	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol phosphate dehydrogenase (nicotinamide adenine dinucleotide (phosphate))	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol-3-phosphate dehydrogenase [NAD(P)+ ]	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol-3-phosphate dehydrogenase [nad(p)+] (nad(p)h-dependent glycerol-3-phosphate dehydrogenase)	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol-3-phosphate dehydrogenase [NAD(P) ] (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	putative glycerol-3-phosphate dehydrogenase [NAD(P)+]
putative glycerol-3-phosphate acyltransferase (gpat)	putative glycerol-3-phosphate O-acyltransferase
putative glycerol-3-phosphate acyltransferase	putative glycerol-3-phosphate O-acyltransferase
putative alpha-glycerophosphate oxidase	putative glycerol-3-phosphate oxidase
putative glycerol-3-phosphate regulon repressor. {pseudomonas aeruginosa;} ^|^pir|a83197|a83197 glycerol-3-phosphate regulon repressor pa3583 [imported] - pseudomonas aeruginosa	putative glycerol-3-phosphate regulon repressor
putative glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)	putative glycerol-3-phosphate transporter
putative dihydroxyacetone kinase (Glycerone kinase) (DHA kinase)	putative glycerone kinase
putative dihydroxyacetone kinase	putative glycerone kinase
putative dihydroxyacetone phosphate acyltransferase	putative glycerone-phosphate O-acyltransferase
putative glycerophosphoryl diester phosphodiesterase (Glycerophosphodiester phosphodiesterase)	putative glycerophosphodiester phosphodiesterase
putative glycerophosphoryl diester phosphodiesterase	putative glycerophosphodiester phosphodiesterase
putative sn-glycero-3-phospho-1-inositol glycerophosphohydrolase	putative glycerophosphoinositol glycerophosphodiesterase
putative sn-glycero(3)phosphoinositol glycerophosphohydrolase	putative glycerophosphoinositol glycerophosphodiesterase
putative D-myo-inositol 1:2-cyclic phosphate 2-phosphohydrolase	putative glycerophosphoinositol inositolphosphodiesterase
putative inositol-1,2-cyclic-phosphate 2-inositolphosphohydrolase	putative glycerophosphoinositol inositolphosphodiesterase
putative 1,2-cyclic-inositol-phosphate phosphodiesterase	putative glycerophosphoinositol inositolphosphodiesterase
putative D-inositol 1,2-cyclic phosphate 2-phosphohydrolase	putative glycerophosphoinositol inositolphosphodiesterase
putative 1-D-myo-inositol-1,2-cyclic-phosphate 2-inositolphosphohydrolase	putative glycerophosphoinositol inositolphosphodiesterase
putative D-myo-inositol 1,2-cyclic phosphate 2-phosphohydrolase	putative glycerophosphoinositol inositolphosphodiesterase
putative glyceryl etherase	putative glyceryl-ether monooxygenase
putative glyceryl-ether cleaving enzyme	putative glyceryl-ether monooxygenase
putative L-arginine:glycine amidinotransferase	putative glycine amidinotransferase
putative glycine betaine transport atp-binding protein opuaa (quaternary-amine-transporting atpase)	putative glycine betaine ABC transporter, ATP-binding protein OpuAA
putative glycine betaine transport ATP-binding protein opuAA	putative glycine betaine ABC transporter, ATP-binding protein OpuAA
putative abc transporter, substrate binding protein [glycine betaine]	putative glycine betaine ABC transporter, glycine betaine-binding protein
putative ABC transporter, substrate binding protein (glycine betaine)	putative glycine betaine ABC transporter, glycine betaine-binding protein
putative abc transporter, membrane spanning protein [glycine betaine]	putative glycine betaine ABC transporter, permease protein
putative glycine betaine/carnitine/choline transport system permease proteinopuCD	putative glycine betaine/carnitine/choline ABC transporter, glycine betaine/carnitine/choline-binding protein
putative 2-amino-3-ketobutyrate coenzyme A ligase	putative glycine C-acetyltransferase
putative glycine cleavage system protein H	putative glycine cleavage system H protein
putative glycine cleavage system transcriptional activator (Gcv operonactivator)	putative glycine cleavage system transcriptional activator
putative glycine cleavage system transcriptional repressor (gcv operonrepressor)	putative glycine cleavage system transcriptional repressor
putative hydrogen cyanide synthase	putative glycine dehydrogenase (cyanide-forming)
putative HCN synthase	putative glycine dehydrogenase (cyanide-forming)
putative glycine-cytochrome c reductase	putative glycine dehydrogenase (cytochrome)
putative glycine decarboxylase	putative glycine dehydrogenase (decarboxylating)
putative glycine cleavage system P-protein	putative glycine dehydrogenase (decarboxylating)
putative glycine-cleavage complex P-protein	putative glycine dehydrogenase (decarboxylating)
putative FIG formiminotransferase	putative glycine formimidoyltransferase
putative glycine formiminotransferase	putative glycine formimidoyltransferase
putative formiminoglycine formiminotransferase	putative glycine formimidoyltransferase
putative serine aldolase	putative glycine hydroxymethyltransferase
putative threonine aldolase	putative glycine hydroxymethyltransferase
putative serine hydroxymethylase	putative glycine hydroxymethyltransferase
putative serine hydroxymethyltransferase	putative glycine hydroxymethyltransferase
putative glycine methyltransferase	putative glycine N-methyltransferase
putative thiamine biosynthesis oxidoreductase thio BMEI1733 [imported]	putative glycine oxidase ThiO
putative glycine radical	putative glycine radical domain protein
putative Glycine riboswitch	putative glycine riboswitch
putative glycine aminotransferase	putative glycine transaminase
putative glycine--oxaloacetate aminotransferase	putative glycine--oxaloacetate transaminase
putative glycyl translase	putative glycine--tRNA ligase
putative glycyl-tRNA synthetase	putative glycine--tRNA ligase
putative glycyl-tRNA synthetase, alpha subunit	putative glycine--tRNA ligase, alpha subunit
putative glycyl-tRNA synthetase, beta subunit	putative glycine--tRNA ligase, beta subunit
putative GSMT	putative glycine/sarcosine N-methyltransferase
putative glycine sarcosine N-methyltransferase	putative glycine/sarcosine N-methyltransferase
putative GMT	putative glycine/sarcosine N-methyltransferase
putative glycine-sarcosine methyltransferase	putative glycine/sarcosine N-methyltransferase
putative glycine sarcosine dimethylglycine N-methyltransferase	putative glycine/sarcosine/dimethylglycine N-methyltransferase
putative GSDMT	putative glycine/sarcosine/dimethylglycine N-methyltransferase
putative BAST	putative glycochenodeoxycholate sulfotransferase
putative bile acid:PAPS:sulfotransferase	putative glycochenodeoxycholate sulfotransferase
putative UDP-glucose--glycogen glucosyltransferase	putative glycogen(starch) synthase
putative glycogen/starch synthases, ADP-glucose type	putative glycogen/starch synthase, ADP-glucose type
putative glycogenin	putative glycogenin glucosyltransferase
putative priming glucosyltransferase	putative glycogenin glucosyltransferase
putative glycolate oxidoreductase	putative glycolate dehydrogenase
putative glycolic acid dehydrogenase	putative glycolate dehydrogenase
putative mannosyltransferase II	putative glycolipid 3-alpha-mannosyltransferase
putative beta-1,2-xylosyltransferase	putative glycoprotein 2-beta-D-xylosyltransferase
putative GDP-L-Fuc:Asn-linked GlcNAc alpha-1,3-fucosyltransferase	putative glycoprotein 3-alpha-L-fucosyltransferase
putative GDP-fucose:beta-N-acetylglucosamine (Fuc to (Fuc-alpha-1->6-GlcNAc)-Asn- peptide) alpha-1->3-fucosyltransferase	putative glycoprotein 3-alpha-L-fucosyltransferase
putative GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha-1,3-fucosyltransferase	putative glycoprotein 3-alpha-L-fucosyltransferase
putative GDP-fucose--glycoprotein fucosyltransferase	putative glycoprotein 6-alpha-L-fucosyltransferase
putative guanosine diphosphofucose-glycoprotein fucosyltransferase	putative glycoprotein 6-alpha-L-fucosyltransferase
putative GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha-(1->6)fucosyltransferase	putative glycoprotein 6-alpha-L-fucosyltransferase
putative GDP-L-fucose-glycoprotein fucosyltransferase	putative glycoprotein 6-alpha-L-fucosyltransferase
putative glycoprotein fucosyltransferase	putative glycoprotein 6-alpha-L-fucosyltransferase
putative fucosylgalactose alpha-N-acetylgalactosaminyltransferase	putative glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
putative histo-blood group A acetylgalactosaminyltransferase	putative glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
putative A transferase	putative glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
putative fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase	putative glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase
